epoch,train_ll,val_ll,train_s,val_s
145,-261.6296,-303.2964,1.24,0.04
146,-261.3177,-302.9977,1.24,0.05
147,-260.8887,-302.6582,1.24,0.04
148,-261.1241,-302.7427,1.24,0.04
149,-260.8409,-302.6537,1.23,0.04
150,-260.6289,-302.3468,1.24,0.04
151,-260.4160,-302.3536,1.23,0.04
152,-260.3245,-302.2728,1.24,0.04
153,-260.3359,-302.1658,1.24,0.04
154,-260.0398,-301.9685,1.24,0.04
155,-259.8043,-301.7494,1.24,0.04
156,-259.7567,-301.6660,1.24,0.04
157,-259.4327,-301.6081,1.25,0.04
158,-259.4886,-301.5241,1.24,0.04
159,-259.1669,-301.5050,1.24,0.04
160,-259.0719,-301.3302,1.25,0.04
161,-258.6387,-301.1120,1.24,0.04
162,-258.4334,-300.7453,1.24,0.04
163,-257.9985,-300.6453,1.24,0.04
164,-257.8394,-300.4350,1.24,0.04
165,-257.6425,-300.3960,1.24,0.04
166,-257.2046,-300.2600,1.25,0.04
167,-257.4215,-300.2233,1.24,0.04
168,-257.4391,-300.1670,1.24,0.05
169,-257.0654,-300.1025,1.24,0.04
170,-256.9545,-300.0738,1.24,0.04
171,-256.9509,-299.8642,1.24,0.04
172,-256.9950,-299.6870,1.23,0.04
173,-256.5386,-299.6202,1.24,0.05
174,-256.3870,-299.5240,1.23,0.04
175,-255.9626,-299.4158,1.22,0.04
176,-256.0226,-299.4985,1.23,0.04
177,-256.0958,-299.3623,1.23,0.04
178,-255.7867,-299.1976,1.24,0.04
179,-255.7207,-299.0198,1.24,0.04
180,-255.7938,-298.9674,1.24,0.04
181,-255.5573,-298.7539,1.24,0.04
182,-255.4369,-298.6894,1.24,0.04
183,-255.3915,-298.6491,1.25,0.04
184,-255.2779,-298.8941,1.23,0.04
185,-255.0560,-298.4945,1.22,0.04
186,-254.9740,-298.3432,1.24,0.04
187,-254.6995,-298.3708,1.25,0.04
188,-254.6732,-298.1653,1.24,0.04
189,-254.3827,-297.8557,1.24,0.04
