[Epoch 61/5000][train LL: -285.26; val LL: -315.53].....[train forward+backward+step 9.24; val forward 0.61]
[Epoch 62/5000][train LL: -284.50; val LL: -314.68].....[train forward+backward+step 9.40; val forward 0.61]
[Epoch 63/5000][train LL: -282.64; val LL: -313.62].....[train forward+backward+step 9.29; val forward 0.60]
[Epoch 64/5000][train LL: -281.99; val LL: -312.74].....[train forward+backward+step 9.45; val forward 0.60]
[Epoch 65/5000][train LL: -281.16; val LL: -311.34].....[train forward+backward+step 9.36; val forward 0.61]
[Epoch 66/5000][train LL: -280.31; val LL: -310.77].....[train forward+backward+step 9.44; val forward 0.61]
[Epoch 67/5000][train LL: -280.21; val LL: -309.88].....[train forward+backward+step 9.42; val forward 0.60]
[Epoch 68/5000][train LL: -278.11; val LL: -308.93].....[train forward+backward+step 9.39; val forward 0.61]
[Epoch 69/5000][train LL: -279.55; val LL: -307.90].....[train forward+backward+step 9.39; val forward 0.61]
[Epoch 70/5000][train LL: -278.53; val LL: -306.69].....[train forward+backward+step 9.42; val forward 0.60]
[Epoch 71/5000][train LL: -277.11; val LL: -305.56].....[train forward+backward+step 9.40; val forward 0.60]
[Epoch 72/5000][train LL: -275.65; val LL: -304.85].....[train forward+backward+step 9.22; val forward 0.61]
[Epoch 73/5000][train LL: -274.46; val LL: -303.88].....[train forward+backward+step 9.26; val forward 0.63]
[Epoch 74/5000][train LL: -274.13; val LL: -303.25].....[train forward+backward+step 9.37; val forward 0.61]
[Epoch 75/5000][train LL: -274.41; val LL: -302.49].....[train forward+backward+step 9.38; val forward 0.63]
[Epoch 76/5000][train LL: -271.52; val LL: -301.82].....[train forward+backward+step 9.30; val forward 0.61]
[Epoch 77/5000][train LL: -269.35; val LL: -301.16].....[train forward+backward+step 9.34; val forward 0.63]
[Epoch 78/5000][train LL: -272.06; val LL: -300.88].....[train forward+backward+step 9.31; val forward 0.61]
[Epoch 79/5000][train LL: -269.61; val LL: -300.05].....[train forward+backward+step 9.23; val forward 0.60]
[Epoch 80/5000][train LL: -267.59; val LL: -299.46].....[train forward+backward+step 9.14; val forward 0.60]
[Epoch 81/5000][train LL: -267.15; val LL: -298.51].....[train forward+backward+step 9.15; val forward 0.61]
[Epoch 82/5000][train LL: -267.32; val LL: -297.65].....[train forward+backward+step 9.28; val forward 0.61]
[Epoch 83/5000][train LL: -266.44; val LL: -296.74].....[train forward+backward+step 9.27; val forward 0.60]
[Epoch 84/5000][train LL: -267.01; val LL: -296.12].....[train forward+backward+step 9.15; val forward 0.61]
[Epoch 85/5000][train LL: -265.98; val LL: -295.21].....[train forward+backward+step 9.22; val forward 0.61]
[Epoch 86/5000][train LL: -264.62; val LL: -294.40].....[train forward+backward+step 9.15; val forward 0.61]
[Epoch 87/5000][train LL: -263.28; val LL: -293.65].....[train forward+backward+step 9.21; val forward 0.61]
[Epoch 88/5000][train LL: -263.65; val LL: -293.40].....[train forward+backward+step 9.28; val forward 0.61]
[Epoch 89/5000][train LL: -262.92; val LL: -293.11].....[train forward+backward+step 9.29; val forward 0.64]
[Epoch 90/5000][train LL: -266.28; val LL: -292.78].....[train forward+backward+step 9.34; val forward 0.60]
[Epoch 91/5000][train LL: -259.36; val LL: -292.08].....[train forward+backward+step 9.41; val forward 0.61]
[Epoch 92/5000][train LL: -262.11; val LL: -291.61].....[train forward+backward+step 9.48; val forward 0.63]
[Epoch 93/5000][train LL: -260.17; val LL: -291.11].....[train forward+backward+step 9.66; val forward 0.63]
[Epoch 94/5000][train LL: -261.75; val LL: -290.67].....[train forward+backward+step 12.93; val forward 0.65]
[Epoch 95/5000][train LL: -260.44; val LL: -290.12].....[train forward+backward+step 13.85; val forward 0.66]
[Epoch 96/5000][train LL: -262.15; val LL: -289.96].....[train forward+backward+step 9.38; val forward 0.62]
[Epoch 97/5000][train LL: -259.52; val LL: -289.70].....[train forward+backward+step 9.30; val forward 0.61]
[Epoch 98/5000][train LL: -260.30; val LL: -289.44].....[train forward+backward+step 10.71; val forward 0.61]
[Epoch 99/5000][train LL: -259.90; val LL: -288.99].....[train forward+backward+step 9.23; val forward 0.61]
[Epoch 100/5000][train LL: -259.32; val LL: -288.29].....[train forward+backward+step 9.55; val forward 0.63]
[Epoch 101/5000][train LL: -259.35; val LL: -287.94].....[train forward+backward+step 9.52; val forward 1.66]
[Epoch 102/5000][train LL: -258.70; val LL: -287.30].....[train forward+backward+step 20.98; val forward 0.64]
[Epoch 103/5000][train LL: -257.63; val LL: -286.80].....[train forward+backward+step 17.72; val forward 0.87]
[Epoch 104/5000][train LL: -256.13; val LL: -286.51].....[train forward+backward+step 9.64; val forward 0.61]
[Epoch 105/5000][train LL: -255.86; val LL: -285.96].....[train forward+backward+step 9.59; val forward 0.61]
[Epoch 106/5000][train LL: -257.81; val LL: -285.28].....[train forward+backward+step 13.55; val forward 0.63]
[Epoch 107/5000][train LL: -254.18; val LL: -284.69].....[train forward+backward+step 23.92; val forward 1.25]
[Epoch 108/5000][train LL: -255.20; val LL: -284.19].....[train forward+backward+step 10.86; val forward 0.61]
[Epoch 109/5000][train LL: -255.90; val LL: -283.74].....[train forward+backward+step 9.75; val forward 0.62]
[Epoch 110/5000][train LL: -255.17; val LL: -283.01].....[train forward+backward+step 9.45; val forward 0.63]
[Epoch 111/5000][train LL: -254.29; val LL: -282.68].....[train forward+backward+step 9.42; val forward 0.62]
[Epoch 112/5000][train LL: -251.82; val LL: -282.39].....[train forward+backward+step 9.43; val forward 0.62]
[Epoch 113/5000][train LL: -251.08; val LL: -282.00].....[train forward+backward+step 9.42; val forward 0.62]
[Epoch 114/5000][train LL: -252.02; val LL: -281.38].....[train forward+backward+step 9.40; val forward 0.63]
[Epoch 115/5000][train LL: -251.15; val LL: -281.28].....[train forward+backward+step 9.50; val forward 0.63]
[Epoch 116/5000][train LL: -252.47; val LL: -280.78].....[train forward+backward+step 9.27; val forward 0.63]
[Epoch 117/5000][train LL: -250.48; val LL: -280.29].....[train forward+backward+step 9.26; val forward 0.64]
[Epoch 118/5000][train LL: -250.29; val LL: -279.99].....[train forward+backward+step 12.60; val forward 0.63]
[Epoch 119/5000][train LL: -249.06; val LL: -279.65].....[train forward+backward+step 11.73; val forward 0.87]
[Epoch 120/5000][train LL: -249.22; val LL: -279.38].....[train forward+backward+step 10.60; val forward 0.64]
[Epoch 121/5000][train LL: -247.97; val LL: -279.18].....[train forward+backward+step 10.03; val forward 0.61]
[Epoch 122/5000][train LL: -249.25; val LL: -278.86].....[train forward+backward+step 9.47; val forward 0.62]
[Epoch 123/5000][train LL: -247.89; val LL: -278.30].....[train forward+backward+step 9.31; val forward 0.61]
[Epoch 124/5000][train LL: -247.02; val LL: -277.92].....[train forward+backward+step 9.39; val forward 0.64]
[Epoch 125/5000][train LL: -247.71; val LL: -277.76].....[train forward+backward+step 9.45; val forward 0.63]
[Epoch 126/5000][train LL: -250.63; val LL: -277.57].....[train forward+backward+step 9.31; val forward 0.62]
[Epoch 127/5000][train LL: -246.13; val LL: -277.23].....[train forward+backward+step 9.36; val forward 0.61]
[Epoch 128/5000][train LL: -247.76; val LL: -277.39].....[train forward+backward+step 9.36; val forward 0.61]
[Epoch 129/5000][train LL: -246.58; val LL: -277.22].....[train forward+backward+step 9.25; val forward 0.61]
[Epoch 130/5000][train LL: -246.73; val LL: -276.94].....[train forward+backward+step 9.29; val forward 0.61]
[Epoch 131/5000][train LL: -246.39; val LL: -276.71].....[train forward+backward+step 9.31; val forward 0.63]
[Epoch 132/5000][train LL: -247.05; val LL: -276.72].....[train forward+backward+step 9.31; val forward 0.61]
[Epoch 133/5000][train LL: -248.11; val LL: -276.66].....[train forward+backward+step 9.29; val forward 0.61]
[Epoch 134/5000][train LL: -246.48; val LL: -276.52].....[train forward+backward+step 9.29; val forward 0.61]
[Epoch 135/5000][train LL: -248.06; val LL: -276.51].....[train forward+backward+step 9.44; val forward 0.61]
[Epoch 136/5000][train LL: -244.48; val LL: -275.87].....[train forward+backward+step 9.42; val forward 0.62]
[Epoch 137/5000][train LL: -244.70; val LL: -275.47].....[train forward+backward+step 9.26; val forward 0.61]
