[Epoch 61/5000][train LL: -279.10; val LL: -274.85].....[train forward+backward+step 5.40; val forward 0.22]
[Epoch 62/5000][train LL: -278.47; val LL: -274.11].....[train forward+backward+step 5.36; val forward 0.22]
[Epoch 63/5000][train LL: -277.38; val LL: -273.36].....[train forward+backward+step 5.34; val forward 0.22]
[Epoch 64/5000][train LL: -276.80; val LL: -272.44].....[train forward+backward+step 5.34; val forward 0.22]
[Epoch 65/5000][train LL: -275.77; val LL: -271.59].....[train forward+backward+step 5.34; val forward 0.22]
[Epoch 66/5000][train LL: -275.25; val LL: -270.66].....[train forward+backward+step 5.33; val forward 0.22]
[Epoch 67/5000][train LL: -274.42; val LL: -269.69].....[train forward+backward+step 5.34; val forward 0.22]
[Epoch 68/5000][train LL: -273.36; val LL: -268.76].....[train forward+backward+step 5.37; val forward 0.22]
[Epoch 69/5000][train LL: -272.17; val LL: -267.84].....[train forward+backward+step 5.37; val forward 0.23]
[Epoch 70/5000][train LL: -271.06; val LL: -267.16].....[train forward+backward+step 5.34; val forward 0.23]
[Epoch 71/5000][train LL: -271.01; val LL: -266.44].....[train forward+backward+step 5.34; val forward 0.22]
[Epoch 72/5000][train LL: -269.98; val LL: -265.80].....[train forward+backward+step 5.35; val forward 0.22]
[Epoch 73/5000][train LL: -269.53; val LL: -265.15].....[train forward+backward+step 5.35; val forward 0.22]
[Epoch 74/5000][train LL: -268.58; val LL: -264.50].....[train forward+backward+step 5.36; val forward 0.22]
[Epoch 75/5000][train LL: -268.28; val LL: -263.92].....[train forward+backward+step 5.34; val forward 0.22]
[Epoch 76/5000][train LL: -267.11; val LL: -263.16].....[train forward+backward+step 5.35; val forward 0.22]
[Epoch 77/5000][train LL: -267.36; val LL: -262.59].....[train forward+backward+step 5.36; val forward 0.22]
[Epoch 78/5000][train LL: -266.36; val LL: -261.84].....[train forward+backward+step 5.35; val forward 0.22]
[Epoch 79/5000][train LL: -265.27; val LL: -261.04].....[train forward+backward+step 5.35; val forward 0.22]
[Epoch 80/5000][train LL: -264.44; val LL: -260.22].....[train forward+backward+step 5.36; val forward 0.22]
[Epoch 81/5000][train LL: -264.19; val LL: -259.37].....[train forward+backward+step 5.35; val forward 0.22]
[Epoch 82/5000][train LL: -262.59; val LL: -258.38].....[train forward+backward+step 5.36; val forward 0.22]
[Epoch 83/5000][train LL: -261.55; val LL: -257.43].....[train forward+backward+step 5.35; val forward 0.22]
[Epoch 84/5000][train LL: -261.30; val LL: -256.71].....[train forward+backward+step 5.37; val forward 0.22]
[Epoch 85/5000][train LL: -260.24; val LL: -255.95].....[train forward+backward+step 5.36; val forward 0.22]
[Epoch 86/5000][train LL: -259.64; val LL: -255.28].....[train forward+backward+step 5.36; val forward 0.22]
[Epoch 87/5000][train LL: -258.77; val LL: -254.78].....[train forward+backward+step 5.36; val forward 0.22]
[Epoch 88/5000][train LL: -258.47; val LL: -254.21].....[train forward+backward+step 5.37; val forward 0.22]
[Epoch 89/5000][train LL: -257.50; val LL: -253.67].....[train forward+backward+step 5.35; val forward 0.22]
[Epoch 90/5000][train LL: -257.32; val LL: -253.10].....[train forward+backward+step 5.35; val forward 0.22]
[Epoch 91/5000][train LL: -256.71; val LL: -252.40].....[train forward+backward+step 5.36; val forward 0.22]
[Epoch 92/5000][train LL: -255.71; val LL: -251.54].....[train forward+backward+step 5.35; val forward 0.22]
[Epoch 93/5000][train LL: -255.00; val LL: -250.81].....[train forward+backward+step 5.34; val forward 0.22]
[Epoch 94/5000][train LL: -254.23; val LL: -250.03].....[train forward+backward+step 5.35; val forward 0.22]
[Epoch 95/5000][train LL: -253.17; val LL: -249.36].....[train forward+backward+step 5.35; val forward 0.22]
[Epoch 96/5000][train LL: -252.58; val LL: -248.76].....[train forward+backward+step 5.34; val forward 0.22]
[Epoch 97/5000][train LL: -252.62; val LL: -248.38].....[train forward+backward+step 5.34; val forward 0.22]
[Epoch 98/5000][train LL: -251.78; val LL: -248.01].....[train forward+backward+step 5.35; val forward 0.22]
[Epoch 99/5000][train LL: -251.30; val LL: -247.44].....[train forward+backward+step 5.34; val forward 0.22]
[Epoch 100/5000][train LL: -251.13; val LL: -247.05].....[train forward+backward+step 5.35; val forward 0.22]
[Epoch 101/5000][train LL: -250.06; val LL: -246.58].....[train forward+backward+step 5.36; val forward 0.22]
[Epoch 102/5000][train LL: -249.98; val LL: -246.36].....[train forward+backward+step 5.35; val forward 0.22]
[Epoch 103/5000][train LL: -249.58; val LL: -245.97].....[train forward+backward+step 5.34; val forward 0.22]
[Epoch 104/5000][train LL: -249.25; val LL: -245.54].....[train forward+backward+step 5.34; val forward 0.22]
[Epoch 105/5000][train LL: -249.03; val LL: -245.02].....[train forward+backward+step 5.34; val forward 0.23]
[Epoch 106/5000][train LL: -248.30; val LL: -244.65].....[train forward+backward+step 5.34; val forward 0.22]
