epoch,train_ll,val_ll,train_s,val_s
1,-695.3485,-151.1534,1.68,0.38
2,-151.8071,-85.5097,0.40,0.02
3,-85.5621,-58.7784,0.37,0.01
4,-58.4023,-52.5826,0.40,0.02
5,-52.0555,-50.6213,0.43,0.02
6,-50.0521,-49.4741,0.43,0.02
7,-48.7930,-48.5023,0.41,0.02
8,-47.8186,-47.6557,0.42,0.02
9,-46.8756,-46.9625,0.42,0.02
10,-46.2000,-46.3548,0.46,0.02
11,-45.4707,-45.8283,0.38,0.02
12,-44.8794,-45.3393,0.44,0.02
13,-44.2405,-44.8600,0.43,0.02
14,-43.7524,-44.3932,0.44,0.02
15,-43.1654,-43.9115,0.43,0.02
16,-42.6353,-43.4795,0.46,0.02
17,-42.1665,-43.1127,0.46,0.02
18,-41.6880,-42.7914,0.47,0.02
19,-41.2567,-42.4858,0.39,0.02
20,-40.9205,-42.2186,0.35,0.01
21,-40.6286,-41.9890,0.41,0.02
22,-40.3748,-41.7619,0.38,0.01
23,-40.0901,-41.5797,0.34,0.01
24,-39.9032,-41.3871,0.37,0.01
25,-39.6458,-41.2198,0.41,0.02
26,-39.4222,-41.0302,0.38,0.02
27,-39.1438,-40.8402,0.35,0.01
28,-38.9604,-40.6827,0.40,0.02
29,-38.7454,-40.4845,0.38,0.02
30,-38.5255,-40.3237,0.35,0.01
31,-38.2935,-40.1894,0.41,0.02
32,-38.1400,-40.0647,0.40,0.02
33,-37.9699,-39.9300,0.49,0.02
34,-37.8370,-39.7850,0.46,0.02
35,-37.6127,-39.6052,0.40,0.01
36,-37.4071,-39.4436,0.45,0.02
37,-37.1940,-39.3136,0.35,0.01
38,-36.9931,-39.1911,0.34,0.01
39,-36.8326,-39.0737,0.35,0.01
40,-36.6810,-38.9459,0.38,0.02
41,-36.5355,-38.7644,0.39,0.02
42,-36.2624,-38.6022,0.48,0.02
43,-36.1085,-38.4445,0.59,0.03
44,-35.8612,-38.2721,0.47,0.02
45,-35.6917,-38.0985,0.55,0.02
46,-35.4892,-37.8821,0.56,0.02
47,-35.2661,-37.6934,0.60,0.03
48,-35.0422,-37.4978,0.47,0.02
49,-34.9082,-37.3429,0.57,0.03
50,-34.6689,-37.1738,0.58,0.03
51,-34.4382,-37.0241,0.50,0.02
52,-34.2817,-36.8659,0.47,0.02
53,-34.0679,-36.6967,0.61,0.03
54,-33.8686,-36.6047,0.60,0.03
55,-33.7369,-36.5004,0.49,0.02
56,-33.6463,-36.4416,0.58,0.02
57,-33.5306,-36.3742,0.59,0.03
58,-33.4446,-36.3502,0.62,0.03
59,-33.3715,-36.2606,0.51,0.02
60,-33.2533,-36.2258,0.53,0.02
61,-33.1879,-36.1721,0.46,0.02
62,-33.1357,-36.1450,0.46,0.02
63,-33.0446,-36.1209,0.61,0.03
64,-32.9946,-36.1173,0.50,0.02
65,-32.9162,-36.0815,0.41,0.02
66,-32.8601,-36.0536,0.43,0.02
67,-32.8463,-36.0245,0.44,0.02
68,-32.7381,-35.9824,0.45,0.02
69,-32.7197,-35.9359,0.45,0.02
70,-32.6075,-35.8765,0.42,0.01
71,-32.5447,-35.8442,0.59,0.03
72,-32.5143,-35.7977,0.49,0.02
73,-32.4081,-35.7455,0.59,0.03
74,-32.3544,-35.7083,0.61,0.03
75,-32.2549,-35.6455,0.46,0.02
76,-32.2096,-35.6128,0.40,0.01
77,-32.1417,-35.5971,0.35,0.01
78,-32.0749,-35.5854,0.40,0.02
79,-32.0118,-35.5544,0.39,0.02
80,-31.9387,-35.5330,0.35,0.01
81,-31.8873,-35.5123,0.34,0.01
82,-31.8603,-35.4959,0.34,0.01
83,-31.8057,-35.4472,0.34,0.01
84,-31.7158,-35.4048,0.34,0.01
85,-31.6999,-35.3545,0.54,0.01
86,-31.6342,-35.3294,0.39,0.02
87,-31.5875,-35.3166,0.35,0.01
88,-31.5592,-35.2886,0.34,0.01
89,-31.4849,-35.2535,0.34,0.01
90,-31.4303,-35.2131,0.34,0.01
91,-31.3930,-35.1601,0.35,0.01
92,-31.2707,-35.0725,0.34,0.01
93,-31.1768,-34.9676,0.39,0.02
94,-31.0342,-34.8551,0.36,0.01
95,-30.9487,-34.7785,0.41,0.01
96,-30.7899,-34.6925,0.42,0.02
97,-30.7013,-34.6611,0.44,0.02
98,-30.6935,-34.6646,0.60,0.02
99,-30.6377,-34.6255,0.43,0.02
100,-30.6160,-34.6354,0.44,0.02
101,-30.5982,-34.5803,0.35,0.01
102,-30.4928,-34.5146,0.60,0.03
103,-30.4881,-34.4759,0.59,0.03
104,-30.4605,-34.4682,0.48,0.02
105,-30.3991,-34.4430,0.61,0.03
106,-30.3847,-34.4556,0.47,0.02
107,-30.3303,-34.3919,0.35,0.01
108,-30.2790,-34.3555,0.48,0.02
109,-30.2435,-34.2899,0.52,0.01
110,-30.1473,-34.2264,0.39,0.02
111,-30.0204,-34.2381,0.46,0.02
112,-30.0519,-34.2279,0.35,0.01
113,-30.0000,-34.2102,0.34,0.01
114,-30.0013,-34.2307,0.50,0.02
115,-29.9151,-34.2069,0.36,0.02
116,-29.9341,-34.2009,0.43,0.02
117,-29.9021,-34.1926,0.44,0.02
118,-29.8913,-34.1953,0.36,0.01
